chart_date,chart_type,rank,title,artist,url
2000-01-22,rock,8,Into The Void,Nine Inch Nails,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,9,Falling Away From Me,KoRn,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,10,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,11,No Leaf Clover,Metallica,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,12,Only God Knows Why,Kid Rock,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,13,Little Black Backpack,Stroke 9,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,14,Crushed,Limp Bizkit,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,15,All The Small Things,Blink 182,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,16,Heaven And Hot Rods,Stone Temple Pilots,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,17,Miserable,Lit,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,18,Brand New Day,Sting,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,19,Take A Picture,Filter,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,20,Stop The Rock,Apollo Four Forty,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,21,Wait And Bleed,Slipknot,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,22,It Feels So Good,Sonique,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,23,Natural Blues,Moby,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,24,Kryptonite,3 Doors Down,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,25,Re-arranged,Limp Bizkit,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,26,Maybe Someday,The Cure,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,27,Letting The Cables Sleep,Bush,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,28,Go Let It Out,Oasis,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,29,She's Got Issues,The Offspring,https://tunecaster.com/charts/00/rock0004.html
2000-01-22,rock,30,Alive,Beastie Boys,https://tunecaster.com/charts/00/rock0004.html
2000-01-29,rock,1,Otherside,Red Hot Chili Peppers,https://tunecaster.com/charts/00/rock0005.html
2000-01-29,rock,2,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0005.html
